InnBaseOut,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1110,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00187,0.00317,0.00531,0.00875,0.01418,0.02257,0.03525,0.05391,0.08063,0.11776,0.16753,0.23158,0.31011,0.40106,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00166,0.00279,0.00468,0.00772,0.01255,0.02004,0.03138,0.04815,0.0723,0.10602,0.15155,0.21062,0.28382,0.36975,0.46452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00146,0.00246,0.00413,0.00684,0.01116,0.01789,0.02815,0.0434,0.06551,0.09662,0.13899,0.19452,0.26417,0.34713,0.44018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.00133,0.00224,0.00374,0.0062,0.01012,0.01624,0.02558,0.0395,0.05972,0.08826,0.12726,0.17861,0.24339,0.32116,0.40938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00126,0.00212,0.00357,0.00594,0.00975,0.01571,0.02487,0.03859,0.05865,0.08714,0.12636,0.1784,0.24459,0.32474,0.41632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00111,0.00187,0.00314,0.00523,0.00859,0.01389,0.02204,0.0343,0.0523,0.078,0.11358,0.16112,0.22213,0.2968,0.38333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00103,0.00171,0.00287,0.00478,0.00786,0.01273,0.02025,0.03161,0.04833,0.0723,0.10565,0.15047,0.20839,0.27991,0.36372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,0.00057,0.00057,0.00057,0.00057,0.00057,0.00057,0.00094,0.00157,0.00264,0.00439,0.00722,0.0117,0.01863,0.02911,0.04457,0.06677,0.09775,0.13951,0.1937,0.26098,0.34039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00202,0.00342,0.00573,0.00943,0.01526,0.02426,0.0378,0.05769,0.0861,0.12541,0.1779,0.24508,0.32693,0.42093,0.52173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.00186,0.00315,0.00527,0.00869,0.01409,0.02242,0.03501,0.05355,0.08011,0.117,0.16648,0.23015,0.30827,0.3988,0.49704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00174,0.00293,0.00491,0.00811,0.01318,0.02103,0.03291,0.05046,0.07569,0.11089,0.15832,0.21972,0.29556,0.38421,0.4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00165,0.00278,0.00465,0.00768,0.01249,0.01993,0.03121,0.04789,0.0719,0.10544,0.15071,0.20945,0.28224,0.36771,0.46202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,0.00091,0.00091,0.00091,0.00091,0.00091,0.00091,0.00149,0.00253,0.00425,0.00705,0.01151,0.01846,0.02905,0.04481,0.06764,0.09979,0.14354,0.20088,0.27274,0.35819,0.45375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,0.00087,0.00087,0.00087,0.00087,0.00087,0.00087,0.00142,0.00241,0.00404,0.00669,0.01093,0.01753,0.0276,0.04259,0.06434,0.09499,0.13678,0.19165,0.26062,0.34295,0.43557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.00133,0.00222,0.00373,0.00619,0.01012,0.01626,0.02565,0.03966,0.06005,0.08887,0.12834,0.18043,0.24629,0.32554,0.4156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,0.00078,0.00078,0.00078,0.00078,0.00078,0.00078,0.00129,0.00218,0.00365,0.00604,0.00987,0.01585,0.02499,0.03863,0.05847,0.08652,0.1249,0.17555,0.23959,0.31669,0.40441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00213,0.00362,0.00604,0.00994,0.01608,0.02552,0.03971,0.06052,0.09017,0.1311,0.18557,0.25504,0.33926,0.43538,0.53763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00206,0.00348,0.00582,0.00958,0.0155,0.02462,0.03835,0.05849,0.08725,0.127,0.18003,0.24781,0.33025,0.42476,0.52586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,0.00116,0.00116,0.00116,0.00116,0.00116,0.00116,0.00196,0.00333,0.00556,0.00917,0.01486,0.02363,0.03686,0.05631,0.08414,0.12271,0.17431,0.24052,0.32141,0.41465,0.51509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00192,0.00325,0.00543,0.00894,0.01449,0.02305,0.03596,0.05495,0.08213,0.11984,0.17031,0.23514,0.31447,0.40611,0.50513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00193,0.00327,0.00547,0.00901,0.01461,0.02325,0.03629,0.05548,0.08296,0.12108,0.17215,0.23777,0.3181,0.4109,0.51113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00188,0.00318,0.00532,0.00877,0.01421,0.02263,0.03533,0.05402,0.08081,0.118,0.16787,0.23202,0.31067,0.40176,0.50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00184,0.0031,0.00519,0.00855,0.01387,0.02208,0.03448,0.05274,0.07892,0.1153,0.1641,0.22697,0.30418,0.3938,0.49129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00176,0.00297,0.00497,0.00819,0.01328,0.02115,0.03306,0.05062,0.07581,0.11088,0.15801,0.21886,0.2938,0.38113,0.47662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00221,0.00374,0.00625,0.01028,0.01662,0.02635,0.04097,0.06237,0.09283,0.1348,0.19054,0.26145,0.34713,0.44452,0.54756,0.64659,0.73482,0.80793,0.86514,0.90783,0.93845,0.95967,0.97394,0.98329,0.98927,0.99301,0.99529,0.99667,0.99748,0.99795,0.99795,0.99795,0.99795,0.99795,0.99795
1220,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.00305,0.00509,0.00838,0.01357,0.02157,0.03364,0.05139,0.07679,0.11209,0.15948,0.22068,0.29622,0.3847,0.48215,0.58225,0.67642,0.75889,0.82639,0.8787,0.91745,0.94506,0.9641,0.97684,0.98516,0.99047,0.99377,0.99579,0.997,0.99771,0.99812,0.99812,0.99812,0.99812,0.99812,0.99812
1230,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.0034,0.00567,0.00931,0.01503,0.02381,0.03701,0.05632,0.08384,0.12185,0.17253,0.23744,0.3167,0.40826,0.5074,0.60674,0.6984,0.7772,0.84076,0.88945,0.92516,0.9504,0.96767,0.97917,0.98663,0.99136,0.9943,0.99608,0.99714,0.99777,0.99813,0.99813,0.99813,0.99813,0.99813,0.99813
1240,0.00282,0.00282,0.00282,0.00282,0.00282,0.00282,0.00471,0.00774,0.0125,0.01984,0.03089,0.04711,0.07031,0.10252,0.14578,0.20177,0.2712,0.35324,0.44496,0.5414,0.63612,0.72222,0.79554,0.85429,0.89906,0.93178,0.95484,0.97058,0.98104,0.98782,0.99211,0.99477,0.99638,0.99734,0.99791,0.99824,0.99824,0.99824,0.99824,0.99824,0.99824
1250,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.0036,0.00603,0.00991,0.01603,0.02543,0.03956,0.06025,0.08969,0.13027,0.18418,0.25282,0.33595,0.43087,0.53205,0.63094,0.72031,0.79557,0.85526,0.90034,0.93301,0.95586,0.97135,0.98158,0.98817,0.99232,0.99488,0.99642,0.99733,0.99787,0.99818,0.99818,0.99818,0.99818,0.99818,0.99818
1260,0.003,0.003,0.003,0.003,0.003,0.003,0.00501,0.00824,0.01333,0.02117,0.03298,0.05032,0.07511,0.1095,0.15561,0.2151,0.28853,0.37466,0.46986,0.56838,0.66248,0.74605,0.81548,0.87001,0.91087,0.94029,0.96076,0.97458,0.98367,0.98951,0.99317,0.99542,0.99677,0.99757,0.99804,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831
1270,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.00551,0.00905,0.01463,0.0232,0.03606,0.05489,0.08167,0.11858,0.16771,0.23051,0.30714,0.39579,0.49218,0.58977,0.68149,0.76174,0.82773,0.87913,0.9174,0.94481,0.96379,0.97657,0.98494,0.9903,0.99365,0.99571,0.99694,0.99767,0.9981,0.99835,0.99835,0.99835,0.99835,0.99835,0.99835
1280,0.00448,0.00448,0.00448,0.00448,0.00448,0.00448,0.00737,0.01191,0.01891,0.02945,0.04495,0.0671,0.09788,0.13925,0.19287,0.25956,0.33868,0.42765,0.52203,0.61592,0.70301,0.77856,0.8403,0.88816,0.92368,0.94904,0.96658,0.97836,0.98606,0.99099,0.99407,0.99595,0.99709,0.99776,0.99815,0.99838,0.99838,0.99838,0.99838,0.99838,0.99838
1211,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.0017,0.00293,0.00497,0.00831,0.01365,0.022,0.03477,0.0538,0.08137,0.12009,0.17249,0.24044,0.32418,0.4212,0.52581,0.6277,0.71947,0.79611,0.85645,0.90169,0.93425,0.95689,0.97216,0.98219,0.98862,0.99265,0.99512,0.9966,0.99748,0.99799,0.99799,0.99799,0.99799,0.99799,0.99799
1221,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.00222,0.00377,0.00631,0.01039,0.01682,0.02669,0.04153,0.06325,0.09411,0.13658,0.19284,0.26419,0.35011,0.44742,0.55015,0.64874,0.7365,0.80918,0.86604,0.90847,0.93889,0.95996,0.97414,0.98343,0.98937,0.99308,0.99535,0.99672,0.99752,0.99799,0.99799,0.99799,0.99799,0.99799,0.99799
1231,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.00241,0.00408,0.00682,0.01121,0.01809,0.02865,0.04446,0.0675,0.1001,0.1447,0.20339,0.27719,0.36519,0.46368,0.566,0.66302,0.74844,0.81859,0.87311,0.91356,0.94244,0.96237,0.97574,0.98446,0.99003,0.9935,0.99562,0.99689,0.99764,0.99807,0.99807,0.99807,0.99807,0.99807,0.99807
1241,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00308,0.00516,0.0085,0.01378,0.02193,0.03422,0.05228,0.0781,0.1139,0.16184,0.22353,0.29938,0.38783,0.48497,0.5846,0.67825,0.76025,0.82735,0.87936,0.91789,0.94535,0.96428,0.97696,0.98523,0.99051,0.99379,0.9958,0.997,0.99771,0.99812,0.99812,0.99812,0.99812,0.99812,0.99812
1251,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00267,0.00453,0.00757,0.01244,0.02005,0.0317,0.04908,0.07431,0.10982,0.15808,0.22103,0.2993,0.39122,0.49222,0.59412,0.68858,0.76993,0.8356,0.88592,0.92282,0.9489,0.96674,0.97862,0.98632,0.9912,0.99423,0.99607,0.99716,0.9978,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817
1261,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00341,0.0057,0.00938,0.01518,0.02411,0.03754,0.05722,0.08524,0.12391,0.17538,0.2411,0.32108,0.41307,0.51234,0.61138,0.70247,0.78054,0.84337,0.89139,0.92656,0.95138,0.96835,0.97964,0.98695,0.99158,0.99446,0.9962,0.99724,0.99785,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982
1271,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00394,0.00655,0.01073,0.01726,0.02724,0.04212,0.06373,0.09422,0.13584,0.19055,0.25944,0.34197,0.43529,0.53395,0.63084,0.71878,0.79343,0.85306,0.8984,0.93145,0.95469,0.97053,0.98104,0.98783,0.99213,0.99478,0.99639,0.99735,0.99791,0.99824,0.99824,0.99824,0.99824,0.99824,0.99824
